# tracer: function
#
# entries-in-buffer/entries-written: 739/739   #P:4
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [000] d.h1. 83409.184597: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.184597: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.184597: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.185595: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.185596: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.185596: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [000] d.h1. 83409.185597: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.185598: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.185598: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [002] d.h1. 83409.186395: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [002] d.h1. 83409.186396: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.186590: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [000] d.h1. 83409.186591: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.186592: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.186592: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.186598: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.186599: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.187590: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.187591: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.187591: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.187592: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.188595: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.188596: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.188597: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.188598: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.189592: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.189593: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.189594: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.189594: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.190494: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.190498: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [002] d.h1. 83409.190502: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [002] d.h1. 83409.190505: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.190593: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.190594: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.191614: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.191615: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [002] d.h1. 83409.191627: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [002] dNh1. 83409.191629: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [003] d.h1. 83409.192586: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.192588: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.193605: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.193607: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.194615: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.194621: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.195594: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.195596: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [002] d.h1. 83409.196338: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [002] d.h1. 83409.196339: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.196590: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.196591: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.202085: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] dNh1. 83409.202107: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.202123: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [000] d.h1. 83409.202124: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [000] d.h1. 83409.202148: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [000] dNh1. 83409.202149: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [002] d.h1. 83409.266554: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [002] d.h1. 83409.266563: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.282849: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] dNh1. 83409.282863: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.283045: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [003] dNh1. 83409.283052: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [000] dnh1. 83409.283257: irq_handler_entry: irq=1 name=IPI
          <idle>-0       [000] dNh1. 83409.283258: irq_handler_exit: irq=1 ret=handled
              dd-6451    [000] d.h.. 83409.283390: irq_handler_entry: irq=10 name=arch_timer
              dd-6451    [000] d.h.. 83409.283402: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.283415: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [001] d.h1. 83409.283415: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [001] d.H1. 83409.283420: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.H1. 83409.283424: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.283431: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.283435: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [002] d.h1. 83409.283475: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [002] dNh1. 83409.283481: irq_handler_exit: irq=2 ret=handled
              dd-6451    [000] d.h.. 83409.284394: irq_handler_entry: irq=10 name=arch_timer
              dd-6451    [000] d.h.. 83409.284412: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.284433: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [001] d.h1. 83409.284434: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [001] d.H1. 83409.284440: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.H1. 83409.284444: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.284472: irq_handler_entry: irq=2 name=IPI
          <idle>-0       [003] dNh1. 83409.284477: irq_handler_exit: irq=2 ret=handled
          <idle>-0       [003] dNh1. 83409.284482: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] dNh1. 83409.284485: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] dnh1. 83409.284629: irq_handler_entry: irq=1 name=IPI
          <idle>-0       [000] dNh1. 83409.284630: irq_handler_exit: irq=1 ret=handled
          <idle>-0       [000] d.h1. 83409.285439: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [000] d.h1. 83409.285445: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.285587: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.285589: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.285590: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.285592: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [003] d.h1. 83409.286612: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [003] d.h1. 83409.286616: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [001] d.h1. 83409.286620: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [001] d.h1. 83409.286626: irq_handler_exit: irq=10 ret=handled
          <idle>-0       [000] d.h1. 83409.286643: irq_handler_entry: irq=10 name=arch_timer
          <idle>-0       [000] d.h1. 83409.286647: irq_handler_exit: irq=10 ret=handled
