# tracer: nop
#
# entries-in-buffer/entries-written: 1338/1338   #P:2
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [000] dNh2. 36819.196830: xhci_inc_deq: CMD 000000003daf44b1: enq 0x000000004fbf3020(0x000000004fbf3000) deq 0x000000004fbf3020(0x000000004fbf3000) segs 1 stream 0 bounce 0 cycle 1
          <idle>-0       [000] dNh2. 36819.196831: xhci_inc_deq: EVENT 0000000025a93397: enq 0x000000004fbf4000(0x000000004fbf4000) deq 0x000000004fbf4030(0x000000004fbf4000) segs 1 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] ..... 36819.196855: xhci_dbg_address: Successful setup address command
     kworker/0:0-3233    [000] ..... 36819.196864: xhci_dbg_address: Op regs DCBAA ptr = 0x0000004fbf2000
     kworker/0:0-3233    [000] ..... 36819.196867: xhci_dbg_address: Slot ID 1 dcbaa entry @000000006621b387 = 0x0000006153e000
     kworker/0:0-3233    [000] ..... 36819.196867: xhci_dbg_address: Output Context DMA address = 0x6153e000
     kworker/0:0-3233    [000] ..... 36819.196868: xhci_address_ctx: ctx_64=0, ctx_type=2, ctx_dma=@6153d000, ctx_va=@00000000acdad395
     kworker/0:0-3233    [000] ..... 36819.196868: xhci_address_ctx: ctx_64=0, ctx_type=1, ctx_dma=@6153e000, ctx_va=@000000009f359f9f
     kworker/0:0-3233    [000] ..... 36819.196869: xhci_dbg_address: Internal device address = 1
     kworker/0:0-3233    [000] ..... 36819.211222: xhci_urb_enqueue: 2-1 ep0out-control: urb 000000002be9702f pipe 2147484288 slot 1 length 0/8 sgs 0/0 stream 0 flags 00110200
     kworker/0:0-3233    [000] d..1. 36819.211233: xhci_queue_trb: CTRL: bRequestType 80 bRequest 06 wValue 0100 wIndex 0000 wLength 8 length 8 TD size 0 intr 0 type 'Setup Stage' flags I:i:c
     kworker/0:0-3233    [000] d..1. 36819.211235: xhci_inc_enq: CTRL 00000000b5ea8a38: enq 0x0000000061549010(0x0000000061549000) deq 0x0000000061549000(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d..1. 36819.211235: xhci_queue_trb: CTRL: Buffer 0000000044fe2c00 length 8 TD size 0 intr 0 type 'Data Stage' flags i:i:c:s:I:e:C
     kworker/0:0-3233    [000] d..1. 36819.211235: xhci_inc_enq: CTRL 00000000b5ea8a38: enq 0x0000000061549020(0x0000000061549000) deq 0x0000000061549000(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d..1. 36819.211236: xhci_queue_trb: CTRL: Buffer 0000000000000000 length 0 TD size 0 intr 0 type 'Status Stage' flags I:c:e:C
     kworker/0:0-3233    [000] d..1. 36819.211236: xhci_inc_enq: CTRL 00000000b5ea8a38: enq 0x0000000061549030(0x0000000061549000) deq 0x0000000061549000(0x0000000061549000) segs 2 stream 0 bounce 0 cycle 1
     kworker/0:0-3233    [000] d..1. 36819.211239: xhci_ring_ep_doorbell: Ring doorbell for Slot 1 ep0in
